Tracktitle,Artistname,Othername,ISNI code,IPI code,ISRC,album
Take me out,Franz Ferdinand,"Ferdinand, Franz",not found,not found,cb7ee449-3ae8-4eb7-b864-c90716cd60bf,"Live at Forest National Club, Brussels"
Gold Digger,Kanye West,Kanye Omari West,"['0000000116557565', '0000000362939198']","['00335677734', '00451108296']",c6fad580-504a-4a0a-9ee4-19d63848b69c,Rectangle's Big Adventure
Everything in its right place,Radiohead,r/head,['0000000115475162'],not found,ac56d103-b8d5-42aa-a8e3-36679006554f,"2003-06-02: Musique Plus, Montréal, QC, Canada"
Umbrella,Rihanna,not found,['0000000114766419'],"['00479976469', '00479976665', '00486793099']",242439c5-476a-4ac4-9be5-9118df9f2340,not found
Cry me a river,Justin Timberlake,Justin Randall Timberlake,['000000011450569X'],['00345256954'],9b625397-5908-4cf8-908b-b5f2312a6139,Love Hurts: 40 of the Most Moving Songs of All Time
Lose yourself,Eminem,Ominem,"['0000000117699370', '0000000368611900']","['00354929235', '00354929431']",69e8e5b0-89d5-4cfc-9dfc-49e1aea57290,Hip Hop da Moda
Beautiful day,U2,U2 Kiwi,['0000000121505903'],not found,1fbcbaeb-98cb-4e99-9dd1-a990d1654a55,Kings of the Castle
Seven nation army,The White Stripes,not found,['0000000122537931'],not found,48c29ccd-219d-4f72-b697-a2b2a976bdba,not found
Hey ya,OutKast,Outcast.,['000000011537277X'],not found,e864d32b-7ceb-4657-9696-250487a91f68,Veronica album top 1000 allertijden
Crazy in Love,Beyonce,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],da51898a-e78d-40b6-895f-519451089e50,Crazy in Love (The Remixes)
All my friends,Snakehips,not found,not found,not found,87973e8c-a38e-4538-97f0-d03e28b9e68a,Beach Club
Mr brightside,The Killers,"Killers, The",not found,not found,d6723cb9-6825-4bbc-acd3-e1f2536f2b7c,We Won't Stop: A Compilation of Covers for ACLU
Single Ladies,Beyonce,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],92e37099-d566-41ce-9e67-af0063f00509,Life Is but a Dream / Live in Atlantic City
Pyramid Song,Radiohead,r/head,['0000000115475162'],not found,45e6908d-b34d-422f-b7a1-1f37e18f9aa0,Amnesiac
My city of ruins,Bruce Springsteen,The Boss,['0000000121418834'],['00076333277'],707d38e8-c4bb-42a8-ab24-838bef92a062,Greetings From Asbury Park
Stillness is the move,Dirty Projectors,The Dirty Projectors,not found,not found,291a3267-b560-410a-bc33-e66fb4a26156,NBA2K13
You Should Be Sad,Halsey,Ashley Nicolette Frangipaine,['0000000451160151'],['00739536702'],b60b799c-1ec3-4f64-affc-250797d27f58,Manic
Imported,Jessie Reyez,not found,['0000000467123611'],not found,912a271a-f670-4e66-90bb-4fedf4403bcb,Being Human in Public
All in My Head,Fifth Harmony,1432,not found,not found,41f2587a-78c6-4420-8fb1-64af4c957790,All in My Head (Flex)
All the Cool Girls,Hailey Whitters,Hailey Faith Whitters,not found,['00594086123'],83ce3218-2865-4005-8fd9-af63c945531e,The Dream
No Time to Die,Billie Eilish,Billie Eilish Pirate Baird O’Connell,['000000046748058X'],['00792187700'],14848e6d-61fa-49f2-9e22-883e285a3a76,No Time to Die
Fried for the Night,Tokimonsta,tokimonsta,not found,not found,15c06879-cd1a-4b82-b89d-0bb8f36a388b,Fried for the Night
Stupid Love,Lady Gaga,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",0f634815-6661-42cc-b464-c9923605ad22,not found
Like A prayer,Madonna,not found,['000000010782262X'],"['00125053706', '00128246872', '00211854787']",df1df10b-19cd-4a35-b9b5-874cdaa33998,not found
Smoke on the water,Michael Sweeney,not found,not found,not found,6d609b65-ca99-4c9d-8ece-45142558aa4d,"Afskedsalbum, Volume 1"
Rock you like a Hurricane,Scorpions,The Scorpions,['0000000110916387'],not found,73d99d26-18a3-4847-b77d-04468c20942d,Live in 3D: Get Your Sting & Blackout
Losing My Religon,Brooklyn Vegan,not found,not found,not found,b7c768cc-922b-4584-adb5-c61281d360f7,Angels & Demons
Good Riddance,McConnell's,not found,['000000000312937X'],not found,8d299549-f9bf-4797-bdfc-57c445e13ee1,Empathica
Welcome to the Jungle,Alessandro Pasetti,Scarlatti,['0000000121253953'],not found,bc9b9080-db24-47f3-ba95-34d4b6849343,Territory: World
Tears in Heaven,Phoebe Bridgers,not found,not found,not found,05a66fd3-6e5d-455f-9d3c-85fe64992d26,"Rolling Stone: New Noises, Vol. 136: Let Love In"
Nothing Eles Matters,Metallica,Metalica,['0000000122939631'],not found,78bcb172-fef9-4421-9e1b-389268893083,"2014-06-28: Glastallica: Glastonbury, Worthy Farm, Pilton, UK"
Livin On A Prayer,Benjamin chase,B. Britten,['0000000121181099'],['00004252041'],9819de5e-2bfd-481a-a049-41e5e6b59f69,Historical Misappropriation
Comforitably numb,Pink floyd's,Pink Floid,['0000000109397559'],not found,cb2f5089-1d30-4feb-8c05-dfc127216869,Miami 1994
Sweet child O' mine,Billboard,Billboard Matt,not found,['00519444445'],446b75dc-de9d-47ed-bbf9-85e23a7b1cbe,Live at Backstage Munich 2006
