0,Track Title,Artist Name,Album Name,Writer(s)/ Composer(s),Othername,ISNI code,IPI code,ISRC,SESAC Work ID,SESAC Publisher,ASCAP Work ID,ASCAP Publisher,ASCAP Publishers' IPI,BMI Work ID,BMI Publisher,GMR Work ID,GMR Publisher,GMR Publishers' IPI
72,Seven nation army,The White Stripes,,,The Redd & White Stripes,['0000000122537931'],not found,94c5ce06-0273-4e0f-be68-bf4a510e418c,767800,1980 PUBLISHINGS,883982004,EMI MUSIC PUBLISHING LTD,87019563,6406560,PEPPERMINT STRIPE MUSIC,No result,No result,No result
73,Hey ya,OutKast,,,Outcast.,['000000011537277X'],not found,bf22fc06-aa9d-48ae-8435-463088c304f3,22940,S H E BROADCAST PRODUCTIONS CO,380786570,BMG MONARCH,744673419,563859,EMI UNART CATALOG INC,No result,No result,No result
74,Crazy in Love,Beyonce,,,Outcast.,['000000011537277X'],not found,cc8873b3-848f-4a02-baf8-95c9671ccbcc,507905,ASIAMARK PUBLISHING,330302177,EMI JEMAXAL MUSIC INC,340111233,6483135,EMI BLACKWOOD MUSIC INC,100058608,WARNER-GRANDVIEW MUSIC,No result
75,All my friends,Snakehips,,,not found,not found,not found,c1c4bd2a-8311-42e8-8752-b2ed61dbaf12,697953984,UNIVERSAL POLYGRAM INTERNATIONAL TUNES INC,310134100,CHAPPELL-CO INC,5876870,8677292,BMG BUMBLEBEE,100071213,MUSIC BY SMITH,847397783
76,Mr brightside,The Killers,,,"Killers, The",not found,not found,b3f2691c-e66d-4eb1-9dde-e63b6b422ee5,652329,BREUKELEN MUSIC PUBLISHING,No result,No result,No result,5712077,no result,No result,No result,No result
77,Single Ladies,Beyonce,,,"Killers, The",not found,not found,3eaf4872-458c-4521-9edb-94a641f1ad26,No result,No result,496106737,2082 MUSIC PUBLISHING,461641073,13976976,CONCORD COPYRIGHTS,No result,No result,No result
78,Pyramid Song,Radiohead,,,r/head,['0000000115475162'],not found,45e6908d-b34d-422f-b7a1-1f37e18f9aa0,No result,No result,460463098,WARNER CHAPPELL MUSIC LTD,160187388,5930855,AGE OF REASON,No result,No result,No result
79,My city of ruins,Bruce Springsteen,,,The Boss,['0000000121418834'],['00076333277'],2d5489d3-e0f0-40e5-b709-bf7547d31a68,688604838,ZFC MUSIC,430700208,No result,No result,no result,no result,100051952,SPRINGSTEEN BRUCE,36951665
80,Stillness is the move,Dirty Projectors,,,The Dirty Projectors,not found,not found,291a3267-b560-410a-bc33-e66fb4a26156,687017,DOMINO PUB COMPANY OF AMERICA,No result,No result,No result,16445813,EASY TEMPO,No result,No result,No result
81,You Should Be Sad,Halsey,,,Ashley Nicolette Frangipaine,['0000000451160151'],['00739536702'],947a27a6-1830-4992-b1f9-f0d43556135a,No result,No result,906285786,EMI APRIL MUSIC INC,128633767,41125317,17 BLACK MUSIC,No result,No result,No result
82,Imported,Jessie Reyez,,,not found,['0000000467123611'],not found,dddaf716-bb26-4ed6-aa31-46c8344266b6,828111,UNIVERSAL TUNES,880946679,GOOD EARNER,602346485,30489536,no result,No result,No result,No result
83,All in My Head,Fifth Harmony,,,1432,not found,not found,3f72dfe9-b5f0-45da-a576-54dbf85aa9b7,661341,SONGS WITHOUT BORDERS,10117410,WARNER CHAPPELL MUSIC FINLAND OY,255295942,22604,ORIGINAL SINSONGS,100061356,PLEASE DON'T FORGET TO PAY ME MUSIC,799869431
84,All the Cool Girls,Hailey Whitters,,,Hailey Faith Whitters,not found,['00594086123'],fe2f0f1d-7b49-4e90-9abe-78322b465b65,No result,No result,893862537,INKOMPETENT KOSMONAUT PUBLISHING,716467234,28636815,BIG ASS PILE OF DIMES MUSIC,No result,No result,No result
85,No Time to Die,Billie Eilish,,,Billie Eilish Pirate Baird O’Connell,['000000046748058X'],['00792187700'],636f12e1-bc0d-4f7f-83be-6f60d297e56e,155254,G I A PUBLICATIONS INC,884374127,WE ARE UNIFIED PTY LTD,652015382,1079354,no result,No result,No result,No result
86,Fried for the Night,Tokimonsta,,,tokimonsta,not found,not found,15c06879-cd1a-4b82-b89d-0bb8f36a388b,No result,No result,906500038,TOKIMONSTA PUBLISHING,701802682,42076865,DOCTUR DOT PUBLISHING,No result,No result,No result
87,Stupid Love,Lady Gaga,,,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",067a498f-ee30-4945-be3e-6865d8b80a6d,609525,EMI BLACKWOOD MUSIC INC,490692883,PW ARRANGEMENTS,859139694,42419194,HOUSE OF GAGA PUBLISHING LLC,100044650,MATZA BALL MUSIC,527859803
88,Like A prayer,Madonna,,,not found,['000000010782262X'],"['00125053706', '00128246872', '00211854787']",7383a548-c4c4-4021-a001-ad6b281ba48c,555993,AVIATRIX MUSIC,420346361,BLEU DISQUE MUSIC CO INC,3383615,871600,JOHNNY YUMA MUSIC,No result,No result,No result
89,Smoke on the water,Michael Sweeney,,,not found,not found,not found,11d3fca2-d0e2-44e2-b4b7-007087ace115,60499269,HAUS COLLECTION MUSIK,490306826,GLENWOOD MUSIC CORP,12050846,1360413,ADAMS VEE AND ABBOTT INC,No result,No result,No result
90,Rock you like a Hurricane,Scorpions,,,The Scorpions,['0000000110916387'],not found,b9875656-f1a2-4329-9406-eedb09c80350,No result,No result,480180463,EDITION ARABELLA MUSIK MUENCHEN,232906286,no result,no result,No result,No result,No result
91,Losing My Religon,Brooklyn Vegan,,,not found,not found,not found,b7c768cc-922b-4584-adb5-c61281d360f7,No result,No result,No result,No result,No result,no result,no result,No result,No result,No result
92,Good Riddance,McConnell's,,,not found,['000000000312937X'],not found,8d299549-f9bf-4797-bdfc-57c445e13ee1,556943,GREEN DAZE MUSIC,370405777,OZONENIX PUBLISHING,489904003,3710941,DOWNTOWN DMP SONGS,No result,No result,No result
93,Welcome to the Jungle,Alessandro Pasetti,,,Scarlatti,['0000000121253953'],not found,191a8341-cc50-44fe-87e3-eef9a070cb4f,575895,GUNS N' ROSES MUSIC,530320082,BLACK FROG MUSIC,345597038,1625614,STARWILD MUSIC,100055401,BLOOD MERIDIAN,847397685
94,Tears in Heaven,Phoebe Bridgers,,,not found,not found,not found,c864f07a-2f12-40c1-b7d4-059008c6fd5f,64545,VAUGHAN JAMES D MUSIC PUBLISHER,502211618,No result,No result,1463453,BLUE SKY RIDER SONGS,No result,No result,No result
